epoch,zpid,addr,zipCode,price,status,beds,baths,sqft
1464046252,3853797,1560 N Sandburg Ter APT 4001  Chicago  IL 60610,60610,$460000,for-sale,2 beds,2 baths,1250 sqft
1464046252,2101836691,2845 W Fletcher St  Chicago  IL 60618,60618,$499000,for-sale,9 beds,4 baths,3000 sqft
1464046252,2131131955,50 E Bellevue Pl APT 405  Chicago  IL 60611,60611,$479000,for-sale,2 beds,2 baths,1400 sqft
1464046252,80619802,3740 N Lake Shore Dr APT 7B  Chicago  IL 60613,60613,$419000,for-sale,2 beds,3 baths,2100 sqft
1464046252,63696537,2625 W Cortez St # 3  Chicago  IL 60622,60622,$359900,for-sale,2 beds,2 baths,-- sqft
1464046252,60202398,1646 W Augusta Blvd # 1  Chicago  IL 60622,60622,$539900,for-sale,3 beds,2.5 baths,2300 sqft
1464046252,2099146263,2420 W Cortez St # 09179691  Chicago  IL 60622,60622,$439000,for-sale,3 beds,2.5 baths,2200 sqft
1464046252,2138455490,1433 W Belmont Ave # 3  Chicago  IL 60657,60657,$520000,for-sale,3 beds,2 baths,1750 sqft
1464046252,89959917,1443 N Washtenaw Ave APT 1R  Chicago  IL 60622,60622,$339900,for-sale,3 beds,3 baths,2000 sqft
1464046252,2099161421,818 Aldine #2  Chicago  IL 60657,60657,$534900,for-sale,2 beds,2 baths,1648 sqft
1464046252,99356659,3033 N Sheridan Rd APT 1005  Chicago  IL 60657,60657,$349000,for-sale,2 beds,2 baths,1027 sqft
1464046252,3793768,3542 W Beach Ave  Chicago  IL 60651,60651,$399000,for-sale,5 beds,3 baths,3000 sqft
1464046252,3645792,3321 W Warner Ave  Chicago  IL 60618,60618,$435000,for-sale,3 beds,3 baths,1446 sqft
1464046252,2100108572,3633 N Troy St  Chicago  IL 60618,60618,$525000,for-sale,7 beds,4 baths,-- sqft
1464046252,3666530,3941 W Dakin St  Chicago  IL 60618,60618,0,,3 beds,2 baths,1310 sqft
1464046252,89930609,3140 N Sheffield Ave APT 506  Chicago  IL 60657,60657,$424000,for-sale,2 beds,2 baths,1251 sqft
1464046252,3729867,2417 N Janssen Ave APT A  Chicago  IL 60614,60614,$439900,for-sale,2 beds,2 baths,-- sqft
1464046252,60201619,2055 W Belmont Ave # 4  Chicago  IL 60618,60618,$439000,for-sale,2 beds,2 baths,1500 sqft
1464046252,2100877143,4332 N St Louis Ave  Chicago  IL 60618,60618,$410000,for-sale,6 beds,3 baths,-- sqft
1464046252,2099536339,1655 N Humboldt Blvd # 1F  Chicago  IL 60647,60647,$309000,for-sale,2 beds,2 baths,-- sqft
1464046252,2135693602,957 N Hamlin Ave  Chicago  IL 60651,60651,$359000,for-sale,8 beds,4 baths,-- sqft
1464046252,2137055577,1717 N Albany Ave  Chicago  IL 60647,60647,$489000,for-sale,7 beds,4 baths,-- sqft
1464046252,2099214207,2348 W Oakdale Ave  Chicago  IL 60618,60618,$419000,for-sale,2 beds,1.5 baths,1680 sqft
1464046252,101491260,2901 N Halsted St APT 301  Chicago  IL 60657,60657,0,,2 beds,2 baths,1500 sqft
1464046252,2099062836,4016 N Sawyer Ave  Chicago  IL 60618,60618,$459500,for-sale,4 beds,3 baths,-- sqft
1464046252,61959363,2605 N Hamlin Ave # 1  Chicago  IL 60647,60647,$315000,for-sale,3 beds,2.5 baths,1700 sqft
1464046252,2105904839,3034 N Hamlin Ave  Chicago  IL 60618,60618,$474000,for-sale,4 beds,2 baths,-- sqft
1464046252,89892722,2157 W Division St APT 301  Chicago  IL 60622,60622,$519900,for-sale,2 beds,2 baths,-- sqft
1464046252,89883580,1433 W Belmont Ave APT 2  Chicago  IL 60657,60657,$540000,for-sale,3 beds,2 baths,1750 sqft
1464046252,87702925,3056 N Clybourn Ave APT 2N  Chicago  IL 60618,60618,$450000,recently-sold,3 beds,2 baths,1750 sqft
1464046252,80854370,2256 N Kimball Ave APT 1  Chicago  IL 60647,60647,$345000,for-sale,2 beds,3 baths,-- sqft
1464046252,2100091171,4135 N Francisco Ave  Chicago  IL 60618,60618,$529900,for-sale,4 beds,3 baths,-- sqft
1464046252,70461948,1927 W Diversey Pkwy UNIT 1B  Chicago  IL 60614,60614,$349000,for-sale,2 beds,2 baths,-- sqft
1464046252,3645685,4102 N Drake Ave  Chicago  IL 60618,60618,$191000,recently-sold,4 beds,4 baths,2500 sqft
1464046252,89894486,2401 N Janssen Ave APT 303  Chicago  IL 60614,60614,$540000,for-sale,2 beds,2 baths,1400 sqft
1464046252,70461982,2719 N Paulina St APT 3S  Chicago  IL 60614,60614,0,,2 beds,2 baths,-- sqft
1464046252,2102017802,1824 N Kimball Ave  Chicago  IL 60647,60647,$499000,for-sale,8 beds,4 baths,1 sqft
1464046252,65560252,655 W Irving Park Rd APT 2715  Chicago  IL 60613,60613,$395000,for-sale,2 beds,2 baths,1609 sqft
1464046252,2101199328,3334 W Hutchinson St  Chicago  IL 60618,60618,$550000,for-sale,6 beds,3 baths,-- sqft
1464046252,2101588491,4014 W Armitage Ave  Chicago  IL 60639,60639,$499000,for-sale,3 beds,2 baths,4321 sqft
1464046252,2101146129,3941 N Christiana Ave  Chicago  IL 60618,60618,$550000,for-sale,4 beds,3 baths,-- sqft
1464046252,2138347107,3314 W Dickens Ave  Chicago  IL 60647,60647,$499000,for-sale,5 beds,2 baths,1698 sqft
1464046252,2122435835,1877 N Winnebago Ave  Chicago  IL 60647,60647,$499900,for-sale,3 beds,2 baths,1010 sqft
1464046252,2126469108,1931 W Diversey Pkwy UNIT 3C  Chicago  IL 60614,60614,$339999,for-sale,2 beds,2 baths,1400 sqft
1464056767,3731942,1760 W Wrightwood Ave APT 110  Chicago  IL 60614,60614,$439000,for-sale,2 beds,2 baths,1550 sqft
1464056767,65561754,2331 W George St  Chicago  IL 60618,60618,$484900,for-sale,3 beds,3 baths,2279 sqft
1464056767,3731702,2849 N Wolcott Ave UNIT H  Chicago  IL 60657,60657,$364900,for-sale,2 beds,2 baths,-- sqft
1464056767,113961192,1610 W Fullerton Ave UNIT 409  Chicago  IL 60614,60614,$450000,for-sale,2 beds,3 baths,-- sqft
1464056767,3728978,2600 N Southport Ave APT 306  Chicago  IL 60614,60614,$440000,for-sale,2 beds,2 baths,1300 sqft
1464056767,60265167,1735 W Diversey Pkwy APT 407  Chicago  IL 60614,60614,$360000,for-sale,2 beds,2 baths,1117 sqft
1464056767,2098667940,1721 W George St # 52  Chicago  IL 60657,60657,$425000,for-sale,2 beds,2 baths,-- sqft
1464056767,49918480,2427 N Seminary Ave # 1  Chicago  IL 60614,60614,$390000,for-sale,2 beds,2 baths,1400 sqft
1464056767,3731826,2614 N Clybourn Ave APT 216  Chicago  IL 60614,60614,$335000,for-sale,2 beds,2 baths,1230 sqft
1464056767,3732042,1781 W Altgeld St APT L  Chicago  IL 60614,60614,$430000,for-sale,2 beds,2 baths,1760 sqft
1464056767,3738427,345 W Fullerton Pkwy APT 1407  Chicago  IL 60614,60614,$359000,for-sale,2 beds,2 baths,1150 sqft
1464056767,60201579,800 W Lill Ave APT 405  Chicago  IL 60614,60614,$349000,for-sale,2 beds,2 baths,-- sqft
1464056767,3723334,2800 N Lake Shore Dr APT 516  Chicago  IL 60657,60657,$499500,for-sale,2 beds,2 baths,-- sqft
1464056767,3729491,1445 W Wrightwood Ave # B  Chicago  IL 60614,60614,$479900,for-sale,2 beds,3 baths,-- sqft
1464056767,89973716,1921 W Diversey Pkwy APT 502  Chicago  IL 60614,60614,$549000,for-sale,3 beds,2 baths,1800 sqft
1464056767,58362013,2840 N Lincoln Ave APT H6  Chicago  IL 60657,60657,$399900,for-sale,3 beds,2 baths,1470 sqft
1464056767,58361479,444 W Fullerton Pkwy APT 1309  Chicago  IL 60614,60614,$349900,for-sale,3 beds,2 baths,-- sqft
1464056767,2140028356,923 W Wrightwood Ave  Chicago  IL 60614,60614,$529000,for-sale,2 beds,2 baths,-- sqft
1464056767,87695504,2928 N Damen Ave # 1  Chicago  IL 60618,60618,$499900,for-sale,3 beds,3 baths,-- sqft
